courier_risk_score,delivery_attempts,delivery_delay_days,otp_confirmation,delivery_photo,pickup_delay_days,pickup_attempts,tamper_route,distance_km,weight_mismatch,logistics_risk_label
0.45,5,10,1,0,5,2,1,255,0,0
0.25,3,11,1,1,6,3,0,962,0,1
0.39,4,9,1,1,4,2,0,789,0,0
0.04,2,6,1,0,9,2,1,132,0,1
0.40,3,1,1,1,4,2,0,2105,0,0
0.17,3,5,1,0,9,4,0,1562,0,0
0.29,3,0,0,1,14,1,0,2341,0,1
0.29,2,5,1,1,2,3,0,467,0,0
0.82,4,1,0,1,9,2,1,2192,0,1
0.65,2,7,1,1,12,4,0,1533,0,0
0.78,2,14,1,0,8,3,0,748,0,1
0.60,3,8,1,1,10,3,1,888,0,0
0.52,3,13,1,1,3,2,0,1369,1,1
0.25,1,13,1,0,2,4,0,2097,0,0
0.97,4,6,1,1,8,2,0,375,0,1
0.34,1,5,1,1,6,2,1,1511,0,0
0.34,2,9,1,0,14,3,0,1241,0,0
0.57,2,4,1,1,1,2,0,1625,0,0
0.41,1,6,1,1,0,4,0,2264,1,1
0.48,2,14,1,0,8,4,0,1076,0,1
0.60,3,12,1,0,5,2,1,2346,0,1
0.39,3,5,1,0,9,2,0,722,0,0
0.92,1,6,0,0,4,4,0,2135,0,1
0.39,3,7,1,1,4,4,0,555,0,1
0.25,1,7,1,1,11,2,0,690,0,0
0.76,5,1,1,1,4,3,0,1887,0,1
0.16,5,4,0,1,14,4,0,1518,1,1
0.51,1,3,1,0,7,4,1,338,0,0
0.20,5,13,1,1,6,1,0,2104,0,0
0.64,2,12,1,0,13,3,1,248,0,1
0.79,5,4,1,1,7,4,0,496,0,0
0.26,5,7,1,1,5,4,0,1880,0,0
0.03,1,9,1,1,10,1,0,1425,0,0
0.54,4,9,1,1,2,3,1,433,0,0
0.35,1,7,1,1,7,1,1,298,0,0
0.10,3,9,1,1,4,3,0,2251,0,0
0.11,5,3,0,1,4,3,0,1111,0,1
0.08,2,3,1,1,13,4,1,586,0,0
0.44,2,14,1,1,5,4,0,1795,0,0
0.07,3,7,1,0,7,4,0,47,0,0
0.85,5,7,1,1,14,4,0,1958,0,1
0.89,3,12,1,0,11,3,0,814,1,1
0.13,3,13,1,1,11,2,0,943,1,0
0.96,5,0,1,1,10,1,0,696,1,1
0.76,1,0,1,1,0,3,0,1497,0,0
0.38,3,2,0,1,9,1,0,1094,0,1
0.78,2,6,1,1,4,3,0,1465,0,1
0.42,4,0,1,1,7,2,0,2083,1,1
0.89,3,5,1,1,5,1,0,488,1,0
0.38,1,3,0,1,12,3,1,1773,0,1
0.02,3,3,1,1,14,1,1,1586,0,0
0.33,1,9,0,0,10,1,0,2182,0,0
0.86,5,0,1,1,0,1,0,1093,1,1
0.96,3,6,1,1,6,3,0,714,0,1
0.27,4,6,0,1,8,3,0,2239,0,1
0.01,1,7,1,1,14,2,0,1915,0,1
0.08,1,13,1,1,8,1,0,2464,0,0
0.12,1,5,1,0,2,1,0,2394,0,0
0.18,3,0,1,1,14,2,0,851,0,0
0.38,3,12,0,1,7,2,0,733,0,0
0.72,5,5,1,1,1,2,0,1538,0,0
0.50,4,13,1,1,1,1,0,39,0,0
0.08,5,2,1,0,4,1,0,1015,1,0
0.20,4,3,0,0,0,3,0,12,1,0
0.25,2,7,1,0,13,1,0,1950,0,0
0.39,4,13,1,1,12,1,1,2136,0,1
0.53,3,3,1,1,9,1,0,1901,0,0
0.34,5,6,1,1,14,2,0,1489,0,0
0.70,3,13,1,1,10,1,1,1108,1,1
0.13,3,3,1,1,10,2,0,1196,0,0
0.44,5,11,1,1,6,2,0,1659,1,1
0.33,5,0,1,1,4,3,1,865,0,0
0.91,2,7,0,1,13,2,0,68,1,0
0.62,1,2,0,0,6,3,0,945,0,1
0.75,5,9,0,1,1,1,1,10,0,1
0.44,5,0,0,0,4,1,0,1913,1,1
0.83,3,6,1,0,5,2,0,2115,0,0
0.95,2,8,1,0,10,1,0,1947,0,1
0.86,1,4,1,0,10,4,0,879,0,0
0.12,1,5,1,1,13,4,0,46,0,0
0.52,5,7,1,1,11,1,0,1627,0,0
0.41,5,5,1,1,5,1,0,1641,0,0
0.24,5,9,1,0,14,2,0,1906,0,0
0.14,5,1,1,1,13,4,0,2484,0,1
0.41,1,13,1,1,7,2,0,1763,1,0
0.75,5,5,1,1,2,4,1,1861,0,0
0.12,1,10,1,1,7,4,0,2197,0,0
0.19,3,14,1,1,8,3,0,1326,0,1
0.29,4,9,1,1,11,1,0,1629,0,0
0.32,5,7,1,0,9,3,1,59,0,1
0.91,5,14,1,1,7,1,0,128,0,1
0.53,4,11,0,1,5,1,0,2163,0,0
0.86,2,9,0,0,11,2,0,1956,0,1
0.02,5,3,1,1,6,2,0,974,0,0
0.99,2,2,1,1,2,2,0,2120,1,1
0.90,3,13,1,1,10,4,0,1859,0,1
0.85,2,5,0,1,9,2,0,2033,0,1
0.75,3,13,1,0,0,3,0,777,1,1
0.92,3,11,1,1,2,4,1,2227,0,1
0.49,1,9,1,0,6,4,0,1611,0,0
0.98,4,1,1,0,0,4,1,1032,0,1
0.67,2,2,1,1,7,3,0,1893,0,0
0.84,3,14,1,1,11,3,0,1644,0,1
0.39,4,4,0,1,6,2,0,686,0,0
0.88,4,13,1,0,14,4,0,238,0,1
0.58,1,2,1,1,1,2,1,241,0,0
0.73,3,5,1,1,5,2,1,1479,0,1
0.24,4,2,1,1,9,3,0,9,0,0
0.88,2,14,1,1,13,4,1,2367,0,1
0.64,4,13,1,1,10,1,0,1685,0,0
0.79,5,3,1,1,7,3,0,112,0,0
0.11,5,2,1,0,14,3,1,59,0,0
0.92,1,14,1,1,0,4,0,1121,0,0
1.00,3,9,1,1,7,4,0,42,0,1
0.08,3,3,0,0,2,2,1,1408,0,1
0.01,5,7,1,1,13,3,0,435,0,0
0.65,2,3,1,1,14,4,0,1059,0,0
0.74,1,6,1,1,14,2,0,1325,0,0
0.00,5,3,1,1,9,1,0,2056,0,0
0.05,2,11,1,1,0,3,1,1931,0,0
1.00,3,14,1,1,5,3,1,1672,0,1
0.84,3,4,1,0,7,4,0,2331,0,1
0.77,2,2,0,1,10,4,0,1976,0,1
0.86,3,8,0,1,10,3,0,2276,0,1
0.33,5,1,1,0,12,4,1,1037,0,1
0.14,3,2,1,0,9,2,0,1153,0,0
0.36,5,0,0,1,3,2,0,2380,1,1
0.40,1,5,1,1,1,1,0,1285,0,0
0.89,5,3,0,1,4,2,0,57,0,0
0.83,1,11,1,0,3,1,1,1930,0,1
0.79,4,0,1,1,3,3,0,1049,0,1
0.52,1,4,1,1,2,2,0,1214,0,0
0.93,2,10,1,1,11,1,0,2119,0,0
0.60,1,10,1,1,5,4,0,266,0,0
0.20,1,13,1,1,11,2,0,872,0,0
0.11,5,13,1,1,10,1,0,1399,0,0
0.50,5,1,0,1,10,3,0,2162,0,0
0.57,1,6,0,1,5,1,0,702,0,0
0.83,1,5,1,1,6,2,0,1500,1,1
0.87,2,5,1,1,14,2,1,1719,0,0
0.53,1,0,1,1,13,3,0,2264,0,0
0.08,5,8,0,0,14,1,0,363,0,1
0.59,2,0,1,1,11,1,0,2057,1,0
0.62,1,14,1,1,6,4,0,1245,0,1
0.84,3,4,1,1,12,1,0,930,0,0
0.42,3,12,1,1,12,3,0,767,0,0
0.14,5,0,1,0,4,2,1,1600,0,1
0.32,3,10,1,1,2,3,0,1703,0,0
0.89,4,9,1,0,3,2,0,178,1,1
0.31,2,9,1,1,4,2,0,734,0,0
0.13,4,2,1,0,7,3,0,1365,0,1
0.51,4,4,1,1,11,4,1,976,0,0
0.13,5,3,1,1,1,1,0,476,0,0
0.17,5,5,1,0,6,2,0,536,1,0
0.27,1,2,0,0,8,2,0,1361,0,0
0.71,4,12,1,0,10,1,0,1790,0,1
0.00,2,6,1,1,3,1,0,697,0,0
0.98,2,3,1,1,12,3,0,1452,0,0
0.95,2,6,1,1,12,3,0,1573,0,0
0.91,1,7,0,1,12,3,0,440,1,1
0.53,1,8,0,1,3,3,0,510,0,0
0.80,5,3,1,1,14,4,0,187,0,0
0.16,5,10,0,1,2,4,0,997,1,1
0.72,5,8,1,1,3,1,0,1495,0,0
0.00,3,12,1,1,12,4,1,987,0,0
0.65,2,7,1,1,11,3,0,447,0,1
0.58,1,11,0,1,8,4,0,1231,1,1
0.07,1,12,1,1,9,4,0,1674,0,0
0.10,2,2,1,1,11,1,1,755,1,0
0.26,5,11,1,0,2,1,0,165,0,0
0.59,5,13,1,1,5,2,0,406,1,0
0.34,4,7,0,1,2,4,0,2213,0,1
0.60,2,7,1,1,3,1,0,1624,0,0
0.89,3,0,1,1,8,3,0,1246,0,1
0.20,2,8,1,1,13,1,1,1438,0,0
0.40,4,6,1,1,10,4,0,856,0,0
0.69,4,2,1,1,3,3,0,1170,0,1
0.14,5,2,1,0,4,4,0,883,0,1
0.39,4,5,0,1,0,2,0,1499,0,0
0.98,3,1,1,1,8,3,1,2161,0,1
0.03,2,10,1,0,11,2,0,605,0,0
0.43,5,4,1,1,9,3,0,1943,0,0
0.32,5,11,1,1,7,2,1,466,0,1
0.46,3,2,1,1,10,2,0,124,0,0
0.60,3,2,1,1,2,4,0,1122,0,0
0.61,3,14,1,0,3,3,0,585,1,1
0.55,1,2,1,1,4,2,0,758,0,0
0.07,4,0,1,1,1,1,1,2419,0,0
0.57,2,9,1,0,1,1,1,883,0,0
0.24,1,2,1,1,7,4,0,2339,0,0
0.49,5,11,0,1,3,3,0,864,1,0
0.14,3,12,1,0,13,2,0,1220,0,1
0.75,4,8,1,1,6,2,1,409,0,1
0.06,1,3,0,0,10,1,0,560,0,0
0.35,1,6,1,1,1,2,0,2018,0,0
0.14,3,9,0,1,0,2,0,201,0,0
0.91,3,1,0,1,4,1,1,971,0,0
0.32,2,11,1,1,5,4,0,942,1,0
0.94,1,10,1,0,7,4,0,1787,0,1
0.82,3,11,1,1,5,2,0,39,0,0
0.78,5,11,0,1,8,4,0,1651,0,1
0.70,4,11,0,1,11,1,0,1173,0,1
0.73,3,14,1,1,3,1,0,1002,0,1
0.13,2,6,1,0,0,2,0,980,0,0
0.03,3,5,1,0,7,3,1,1511,0,1
0.60,2,1,0,1,10,4,0,1658,1,1
0.94,2,1,0,1,2,4,1,1639,0,0
0.05,4,7,1,1,10,1,0,40,0,0
0.00,5,13,0,1,14,1,0,554,1,1
0.90,5,4,1,1,5,3,1,635,1,1
0.45,5,1,1,1,0,4,0,2184,0,0
0.67,1,3,0,0,11,1,0,1299,0,1
0.51,2,6,1,1,4,3,0,1599,0,0
0.10,1,2,1,0,4,4,0,2487,0,0
0.11,1,8,0,1,1,1,0,879,0,0
0.44,1,1,1,1,6,2,0,2486,0,0
0.50,5,13,1,1,11,1,0,2064,0,0
0.25,4,5,1,0,9,2,0,1789,0,0
0.21,2,0,1,0,8,3,1,87,0,0
0.51,3,11,1,0,9,2,0,881,0,1
0.98,5,12,1,0,4,3,0,426,0,1
0.89,1,13,1,1,0,3,0,2295,0,1
0.18,3,8,1,0,9,1,0,2370,0,0
0.55,2,8,1,1,2,2,1,175,0,0
0.77,1,12,1,1,2,3,0,269,0,1
0.88,1,3,0,0,13,1,0,53,0,0
0.10,3,1,1,1,2,2,1,938,1,1
0.39,3,6,1,1,13,2,0,2089,0,0
0.56,5,1,1,1,12,3,0,1150,0,1
0.07,2,14,0,1,8,1,0,855,0,0
0.35,3,1,0,1,9,1,0,1038,0,0
0.73,3,0,1,1,7,4,0,1310,0,1
0.97,2,13,1,1,7,3,0,2097,0,0
0.56,1,9,1,0,0,4,0,1077,0,0
0.67,4,11,1,1,7,4,0,1026,0,1
0.90,1,13,1,1,4,1,0,887,1,1
0.00,2,7,0,1,3,2,0,868,0,0
0.60,2,9,1,0,10,3,0,1030,0,1
0.69,5,0,1,1,8,3,0,2090,0,0
0.03,4,0,1,1,0,3,0,2113,0,0
0.11,1,1,0,1,5,3,1,1274,0,0
0.47,2,11,0,1,12,3,0,1298,0,0
0.29,1,13,1,1,0,3,0,480,0,0
0.51,1,2,1,1,0,3,0,2170,0,0
0.04,1,3,0,1,13,2,0,762,0,0
0.64,1,1,1,0,11,2,0,2470,0,0
0.06,4,1,1,0,12,3,0,1248,1,1
0.70,5,0,1,0,5,2,0,2312,0,0
0.68,5,8,1,0,2,4,0,1651,0,1
0.35,3,8,1,1,13,2,0,273,0,0
0.47,3,8,1,1,1,4,0,1830,0,0
0.46,2,14,1,1,10,2,0,2013,0,0
0.28,4,12,1,0,12,3,0,1242,1,1
0.21,3,9,1,0,11,2,0,1502,0,1
0.21,4,9,1,1,13,1,0,2028,0,0
0.85,1,12,1,1,13,1,0,1325,0,0
0.34,1,12,1,0,6,3,1,1715,1,1
0.80,2,2,1,0,6,3,0,737,0,0
0.26,1,12,1,1,10,1,0,1572,0,0
0.52,3,0,1,1,8,4,0,523,0,0
0.72,3,7,1,1,0,3,0,2052,0,1
0.22,3,8,1,1,1,2,0,208,0,0
0.25,3,7,1,0,8,3,0,652,0,0
0.44,2,7,1,1,11,4,0,1517,0,0
0.74,5,3,1,1,4,1,0,1506,0,0
0.80,3,4,0,1,1,3,1,1020,0,1
0.37,4,4,1,1,1,4,0,2384,0,0
0.75,4,0,1,1,1,3,1,396,0,1
0.99,3,11,1,1,0,1,0,522,1,0
0.13,1,1,1,0,0,1,0,956,0,0
0.97,2,9,1,0,1,4,0,1808,0,1
0.84,4,9,0,1,14,1,0,2109,0,1
0.30,4,5,0,1,7,1,0,2444,0,1
0.64,5,4,1,1,8,4,0,2239,0,0
0.72,5,3,1,1,9,2,0,2420,0,1
0.05,1,8,1,1,9,1,1,969,0,1
0.71,5,10,1,1,7,4,0,1337,0,1
0.58,1,4,1,1,7,2,0,848,1,0
0.26,1,3,1,1,10,2,0,1525,0,0
0.52,1,5,1,1,11,1,0,1404,0,0
0.48,1,8,0,1,0,2,1,981,0,0
0.65,5,6,1,1,6,2,0,1690,0,0
0.63,1,10,1,0,11,1,0,233,0,1
0.25,2,6,1,1,1,4,0,92,0,0
0.71,2,5,1,1,5,3,0,943,0,0
0.15,2,3,1,1,8,4,1,2129,0,0
0.60,4,13,1,1,10,1,0,1657,0,1
0.59,4,1,1,1,11,4,0,1708,0,0
0.29,2,14,1,0,12,2,0,2461,1,1
0.52,1,9,0,1,0,1,0,2404,1,0
0.76,1,7,0,1,9,2,0,787,0,0
0.35,3,3,1,0,14,4,0,154,0,1
0.14,3,12,1,1,14,2,0,870,0,1
0.72,3,4,1,1,5,1,0,1642,0,0
1.00,5,3,1,0,6,1,0,941,1,1
0.62,4,0,1,0,10,2,0,1494,0,1
0.59,5,1,1,0,13,3,0,975,0,1
0.23,4,0,0,1,5,1,0,2049,0,0
0.01,4,6,1,1,12,1,0,268,0,1
0.02,1,7,1,1,9,1,0,268,0,0
0.58,1,10,0,0,9,4,0,182,0,1
0.73,5,6,1,0,1,1,0,1085,1,1
0.51,5,12,1,1,7,1,0,358,0,0
0.51,3,5,0,1,13,2,0,963,0,1
0.77,2,5,0,0,8,3,0,1792,0,1
0.67,3,1,1,1,10,1,0,67,1,0
0.82,4,3,0,1,4,2,0,1219,1,1
0.52,1,8,1,0,7,1,1,665,0,1
0.81,5,11,0,1,14,4,0,1609,0,1
0.07,2,11,1,0,4,1,1,949,0,0
0.52,4,2,1,0,6,3,1,774,0,1
0.77,3,10,0,0,2,2,0,2144,0,1
0.78,5,7,1,1,0,1,0,2297,0,0
0.86,4,8,1,0,7,1,0,2378,1,1
0.34,1,0,0,1,9,1,0,1819,0,1
0.85,1,11,1,1,2,3,0,1626,0,1
0.20,4,13,1,1,7,4,0,758,0,1
0.26,1,1,0,1,8,2,0,2018,0,0
0.67,1,1,1,1,7,2,1,815,0,0
0.58,3,9,1,1,11,2,0,2085,0,0
0.12,2,13,1,1,13,1,0,1822,1,1
0.03,2,11,1,1,4,2,1,641,0,0
0.37,5,4,1,1,0,4,1,263,0,1
0.79,1,6,1,1,3,1,1,57,0,0
0.63,4,14,0,1,10,3,0,229,0,1
0.92,3,12,1,0,6,3,1,97,0,1
0.56,3,3,0,1,0,2,0,734,0,0
1.00,5,2,1,1,10,3,0,158,0,1
0.04,4,5,0,1,8,3,0,1507,0,1
0.56,5,11,1,0,10,2,1,2173,0,1
0.55,4,8,1,1,3,1,0,1695,0,0
0.44,3,13,1,1,14,2,0,2428,0,1
0.77,1,1,0,1,1,4,0,317,0,0
0.23,5,5,1,1,14,4,0,972,1,1
0.63,5,12,1,0,3,4,1,1387,0,1
0.67,1,0,1,0,14,2,0,1325,0,1
0.56,4,9,1,0,7,4,0,1060,0,1
0.02,1,14,1,0,11,2,1,1954,0,0
0.81,2,5,0,1,6,2,0,297,0,0
0.95,1,13,1,1,11,4,0,87,0,0
0.75,1,2,1,0,13,2,0,968,1,1
0.70,1,8,1,0,8,2,0,1827,1,1
0.12,5,9,1,1,1,4,0,713,0,1
0.59,4,11,1,1,7,3,0,1017,0,1
0.72,4,5,1,1,4,1,0,1271,0,0
0.55,4,7,1,1,2,4,0,1810,1,0
0.30,5,3,1,1,11,3,0,1713,0,0
0.32,1,12,0,1,1,2,1,2136,0,0
0.62,1,10,0,0,9,2,0,319,0,1
0.86,2,12,0,1,8,2,0,1918,0,1
0.30,5,11,1,1,7,3,0,1313,0,1
0.58,4,8,1,0,0,3,0,1923,0,0
0.71,2,10,0,1,5,1,1,2392,0,1
0.71,3,12,1,0,8,4,0,1553,0,1
0.74,2,13,1,1,11,4,1,1590,0,0
0.37,2,11,1,0,2,1,0,2115,0,0
0.61,2,5,1,1,10,4,0,2271,0,0
0.13,3,11,0,1,10,3,0,630,0,0
0.47,2,0,1,0,5,3,0,1155,0,0
0.65,4,8,1,1,8,3,0,984,0,0
0.77,1,0,1,1,10,1,0,1845,0,0
0.44,5,0,0,1,11,4,0,1845,0,0
0.45,2,2,0,0,12,1,0,385,0,0
0.92,3,3,1,1,7,1,0,1207,0,0
0.81,2,1,1,1,6,4,0,1053,0,0
0.16,5,3,0,1,14,4,0,2159,0,0
0.80,5,1,1,1,5,4,0,99,1,1
0.53,1,9,0,1,7,2,0,1905,1,0
0.19,3,8,0,1,0,2,0,2237,0,0
0.07,5,5,1,1,8,4,0,1949,0,0
0.87,1,13,1,1,13,2,0,1402,0,1
0.32,1,10,1,1,12,3,1,191,0,1
0.48,3,2,0,0,13,4,0,563,1,1
0.41,3,0,1,0,5,4,0,67,0,0
0.02,3,13,1,1,10,2,0,1999,1,1
0.19,4,11,1,0,0,1,1,993,0,1
0.42,5,2,1,0,4,4,0,1019,0,1
0.82,2,2,1,0,10,2,0,591,0,0
0.49,3,3,1,0,8,3,1,2394,0,0
0.42,5,12,1,1,0,2,1,1041,0,1
0.07,5,7,0,1,12,3,1,626,0,1
0.21,2,13,1,1,7,4,0,231,1,0
0.13,5,10,1,1,1,1,0,108,0,0
0.97,5,4,1,1,4,1,1,1728,1,1
0.68,1,10,1,1,11,3,0,235,0,0
0.12,4,6,0,0,11,4,0,199,0,0
0.11,4,7,1,0,11,4,0,1526,0,1
0.38,5,9,1,1,9,3,1,1840,1,1
0.31,1,11,1,0,10,3,0,604,0,0
0.91,4,12,1,1,2,3,0,1266,1,1
0.39,1,8,1,1,8,2,0,761,1,0
0.82,5,11,1,1,13,4,1,355,0,1
0.26,4,2,1,0,11,2,0,579,0,0
0.10,5,14,0,1,2,1,0,526,0,0
0.90,4,0,1,1,11,1,0,2115,0,1
0.50,2,10,1,1,3,4,0,2050,0,0
0.99,1,0,1,0,1,1,0,454,0,0
0.52,1,11,0,0,6,4,1,1313,0,1
0.13,1,10,0,1,0,1,0,1956,0,0
0.43,5,1,1,1,13,1,0,2288,0,1
0.94,1,9,1,1,12,2,0,2416,0,1
1.00,5,14,1,1,14,4,1,647,1,1
0.99,4,5,0,1,10,2,1,1061,0,1
0.43,5,10,1,0,11,1,1,1272,0,1
0.21,1,6,1,0,12,2,0,1443,0,0
0.79,1,10,1,1,14,4,0,1640,1,1
0.53,3,14,0,0,2,4,1,1372,0,1
0.04,5,5,1,1,13,4,0,272,0,0
0.84,2,0,0,1,11,3,0,1829,0,0
0.28,5,0,1,1,4,1,1,63,0,1
0.79,2,5,0,1,9,4,0,2300,0,1
0.33,2,8,1,1,12,2,1,1096,0,0
0.26,2,1,1,1,2,3,0,543,0,0
0.19,2,3,1,1,9,2,0,1955,0,0
0.60,2,8,1,1,13,2,1,2274,1,1
0.62,4,7,1,1,12,1,0,1705,0,1
0.65,4,0,1,0,1,4,1,2073,0,1
0.33,5,4,1,0,12,3,0,1528,0,1
0.19,1,14,1,1,5,2,0,1815,0,0
0.97,1,3,1,1,4,4,0,1753,0,0
0.23,5,9,1,1,12,4,0,766,0,0
0.08,1,4,1,1,2,3,0,480,0,0
0.98,5,0,1,1,0,1,0,594,0,0
0.02,1,9,1,1,6,4,1,1214,0,1
0.26,2,6,1,1,13,3,1,577,0,0
0.92,4,1,1,1,7,1,1,16,0,0
0.82,1,11,1,1,8,1,1,742,0,0
0.95,3,13,0,1,2,3,1,1122,0,1
0.07,1,6,1,1,6,1,0,722,0,0
0.96,1,10,1,1,12,4,0,512,0,0
0.90,3,2,1,1,13,3,1,692,0,1
0.55,3,0,1,0,0,2,0,2219,0,0
0.71,5,14,1,0,4,3,0,2358,0,1
0.88,2,6,1,0,3,1,0,306,0,0
0.83,2,11,1,1,8,3,0,395,0,0
0.32,5,5,1,1,12,2,0,1281,1,1
0.26,4,2,1,1,10,3,0,1849,0,0
0.10,3,0,0,1,0,1,0,1868,1,1
0.49,5,3,0,1,5,4,0,2121,0,0
0.02,2,14,1,0,8,2,0,1123,0,0
0.69,3,6,1,1,13,3,0,1838,0,0
0.70,5,3,1,1,4,4,0,1379,0,1
0.64,5,11,1,0,8,4,0,437,0,1
0.78,2,12,0,0,1,3,0,343,0,0
0.64,5,5,1,1,13,1,1,1759,0,0
0.20,1,6,1,1,6,2,0,1538,0,0
0.83,2,7,0,0,8,4,1,1689,1,1
0.63,5,10,1,1,10,3,0,1969,0,1
0.30,1,6,1,0,7,1,1,345,0,1
0.45,2,1,1,0,7,3,1,1135,0,1
0.20,4,8,0,1,0,2,1,953,1,1
0.50,5,11,1,1,4,2,0,421,0,0
0.50,2,6,1,1,14,4,0,2497,1,1
0.03,5,5,1,1,10,4,0,777,0,0
0.91,5,6,1,1,12,2,0,2401,0,1
0.25,3,14,1,1,6,3,0,1609,0,0
0.30,5,13,0,1,0,4,0,1376,0,1
0.28,2,0,1,1,11,4,1,446,0,0
0.25,2,10,0,0,14,1,0,425,0,0
0.08,4,11,1,1,3,2,0,348,0,0
0.76,4,5,1,1,1,2,0,1532,0,1
0.54,3,3,1,0,14,2,0,2270,0,1
0.38,4,6,1,0,11,1,0,508,0,0
0.21,1,4,1,1,14,2,1,1674,0,0
0.07,2,12,0,1,14,3,0,2352,0,0
0.62,2,12,1,1,12,2,0,144,0,0
0.74,5,0,1,1,5,2,1,2139,0,1
0.64,1,9,1,1,6,3,0,1251,0,1
0.01,3,1,1,1,5,4,1,2396,1,1
0.69,5,12,1,1,6,4,0,1614,1,1
0.91,3,0,1,0,2,1,0,159,0,0
0.00,3,11,1,1,3,4,0,815,0,0
0.92,2,4,1,0,6,4,0,470,0,0
0.12,2,1,0,1,3,4,0,770,0,0
0.10,3,9,1,1,10,3,1,372,0,0
0.51,2,7,0,0,9,4,0,1069,0,0
0.89,3,1,1,1,10,3,0,749,0,1
0.05,1,1,1,1,0,1,1,708,0,0
0.95,5,4,1,1,8,3,0,1391,0,1
0.76,1,2,1,1,12,1,0,2000,0,0
0.38,5,0,1,0,6,3,0,636,0,1
0.90,2,14,1,1,6,1,1,889,0,1
0.61,4,9,1,0,13,4,1,241,0,0
0.91,3,8,1,1,4,1,0,953,0,1
0.95,5,6,1,0,6,2,0,892,0,1
0.18,1,7,1,1,8,1,0,1495,0,0
0.26,4,8,0,0,9,2,0,713,0,1
0.68,1,7,0,0,3,3,0,1478,0,1
0.72,1,14,1,1,6,1,0,1970,1,1
0.15,2,14,1,1,7,1,1,306,0,0
0.35,4,12,1,0,8,3,0,2089,0,1
0.55,3,6,1,0,7,3,0,2141,0,1
0.47,4,9,1,0,14,2,0,2447,0,0
0.62,5,12,0,1,7,1,0,1857,0,1
0.11,5,4,0,1,14,3,0,158,0,1
0.90,5,9,1,1,3,1,0,920,0,1
0.51,1,12,0,1,14,1,0,1829,0,0
0.82,5,13,0,1,9,4,1,1798,0,1
0.80,4,8,1,1,0,1,0,1321,1,1
0.98,5,4,1,0,14,1,0,76,0,1
0.57,2,8,1,1,14,1,0,538,0,0
0.06,2,8,1,1,0,2,1,2256,0,0
0.14,5,13,0,1,1,3,0,399,1,1
0.90,1,1,1,0,12,4,1,908,0,1
0.61,1,12,1,1,11,3,0,1997,0,0
0.54,1,12,1,1,13,3,0,447,1,1
0.99,1,13,1,0,4,2,0,701,0,0
0.53,4,13,0,1,9,4,0,1451,0,1
0.11,3,6,1,1,3,3,0,570,0,0
0.27,3,3,0,1,13,3,0,583,0,1
0.39,3,1,0,1,0,2,0,885,0,0
0.90,3,3,1,0,3,1,0,233,1,1
0.31,4,1,1,0,13,3,0,732,0,0
0.41,3,7,1,0,7,1,0,2157,0,1
0.06,4,2,0,0,2,3,0,2445,0,1
0.11,1,2,0,1,2,3,1,560,0,1
0.91,4,0,0,1,12,4,0,921,0,1
0.03,3,10,1,1,8,1,0,239,0,0
0.44,1,7,1,0,4,2,0,276,0,0
0.85,4,1,0,0,6,1,0,1023,0,1
0.80,2,4,1,1,6,3,0,309,1,1
0.75,2,13,0,0,10,4,0,2426,0,1
0.79,2,13,1,1,12,4,0,365,0,0
0.56,3,7,1,1,12,4,1,1003,0,1
0.12,4,1,1,1,12,3,0,99,0,0
0.38,1,1,1,1,4,3,0,949,0,0
0.72,2,2,1,0,13,3,1,183,0,0
0.75,4,12,0,1,4,2,1,904,1,1
0.97,1,1,0,0,4,3,0,48,0,0
0.59,2,6,1,1,12,4,0,1372,0,0
0.19,2,7,1,1,5,1,1,2487,0,0
0.08,1,9,1,1,5,3,0,1436,0,0
0.97,1,9,1,1,1,3,0,2342,0,0
0.23,5,13,1,0,1,3,0,1356,0,1
0.21,1,6,0,1,7,3,0,2399,0,0
0.64,2,6,1,1,13,2,0,1362,1,1
0.81,2,5,0,1,14,2,0,1578,0,1
0.73,4,9,0,0,12,3,0,2307,0,1
0.97,5,3,1,1,4,1,0,1524,0,0
0.68,5,5,1,0,14,2,0,1112,0,1
0.51,1,4,1,0,7,3,0,1062,0,0
0.31,4,2,1,0,9,2,1,1556,0,0
0.53,5,14,1,1,3,2,0,2452,0,0
1.00,4,5,1,1,10,3,0,1865,0,1
0.49,5,6,1,1,8,3,0,870,0,0
0.48,2,0,0,1,9,2,0,2393,0,0
0.20,5,0,1,0,10,4,0,1505,1,0
0.59,1,2,1,0,13,4,0,1010,0,0
0.54,4,12,1,1,3,4,0,1862,0,1
0.57,5,10,1,0,11,1,0,2331,0,1
0.95,5,8,1,1,7,2,0,931,0,1
0.13,4,5,0,1,5,1,0,755,0,0
0.19,2,1,1,1,11,1,0,1021,0,0
0.10,1,1,1,1,6,3,1,2027,0,0
0.28,1,10,1,1,11,4,1,570,1,1
0.51,4,13,1,1,5,3,1,15,0,0
0.19,2,11,1,1,2,2,0,1502,0,0
0.38,3,1,1,1,2,3,0,526,0,0
0.26,5,6,1,0,1,2,0,793,0,0
0.77,3,1,1,1,6,4,1,1531,0,1
0.14,3,13,1,1,10,1,0,371,0,0
0.17,1,1,1,0,5,3,0,1092,0,0
0.16,3,9,1,1,6,2,0,801,1,0
0.65,5,4,1,1,14,3,0,1096,1,1
0.32,2,14,0,0,6,4,0,1755,0,1
0.10,2,1,1,1,7,3,0,93,0,0
