seller_age_days,verification_level,total_orders,seller_return_rate,seller_dispute_rate,wrong_item_rate,damaged_item_rate,avg_product_price,refund_before_inspection,negative_feedback_rate,seller_risk_label
1013,1,1192,0.68,0.13,0.05,0.33,8124.44,1,0.28,0
871,2,2412,0.35,0.45,0.27,0.09,1670.82,1,0.13,1
946,1,4573,0.08,0.05,0.04,0.21,9306.49,1,0.19,0
272,0,3123,0.96,0.06,0.02,0.38,3131.77,0,0.35,1
1206,2,3706,0.63,0.15,0.04,0.18,13208.61,0,0.28,0
1280,2,1749,0.54,0.08,0.33,0.38,10898.46,1,0.21,1
859,0,1972,0.94,0.13,0.06,0.38,2718.37,1,0.53,1
1601,1,2452,0.77,0.47,0.16,0.37,14278.89,1,0.27,1
1795,0,3598,0.14,0.17,0.24,0.36,6128.09,1,0.20,0
1416,1,2932,0.66,0.17,0.19,0.20,7602.86,1,0.41,1
215,1,3175,0.78,0.50,0.29,0.12,592.95,0,0.32,1
1969,2,2434,0.32,0.10,0.36,0.00,13675.95,0,0.25,0
830,0,240,0.54,0.34,0.19,0.02,10297.28,1,0.44,1
1881,2,3893,0.93,0.28,0.06,0.14,10173.88,1,0.02,1
87,2,1511,0.49,0.35,0.07,0.21,8175.47,0,0.40,1
1160,2,3775,0.52,0.21,0.06,0.06,14665.34,0,0.36,1
1893,0,2277,1.00,0.37,0.33,0.40,15198.81,0,0.17,1
1771,1,4352,0.32,0.46,0.40,0.09,9459.66,0,0.47,0
1654,0,1335,0.65,0.24,0.36,0.35,14896.65,0,0.22,1
715,2,4839,0.48,0.11,0.00,0.09,769.21,0,0.53,0
719,0,4684,0.38,0.45,0.36,0.08,10874.01,0,0.32,1
303,1,197,0.98,0.19,0.15,0.18,1289.61,0,0.40,0
1849,2,2957,0.63,0.21,0.02,0.04,953.76,0,0.04,0
402,0,1375,0.95,0.45,0.10,0.10,8677.69,0,0.08,1
1905,2,1447,0.23,0.05,0.34,0.18,6926.24,1,0.57,0
1212,2,1532,0.65,0.02,0.33,0.16,4970.67,1,0.44,1
830,2,2432,0.94,0.13,0.23,0.13,7055.69,0,0.21,0
309,0,184,0.16,0.11,0.34,0.39,7356.05,0,0.47,1
213,2,2454,0.08,0.45,0.40,0.22,9651.20,1,0.11,0
1090,1,2828,0.81,0.23,0.26,0.23,12054.78,0,0.20,0
127,1,844,0.15,0.50,0.05,0.28,6773.72,0,0.13,1
1692,1,4191,0.76,0.35,0.23,0.30,9639.96,0,0.23,1
698,1,2769,0.83,0.45,0.19,0.05,11261.61,1,0.40,1
427,1,4118,0.13,0.16,0.30,0.03,5348.63,1,0.40,0
1258,2,27,0.20,0.46,0.19,0.36,8463.98,1,0.57,1
271,0,4537,0.10,0.37,0.23,0.33,7076.50,0,0.11,1
784,1,1129,0.01,0.13,0.35,0.24,3643.03,0,0.53,0
335,2,2849,0.89,0.29,0.14,0.19,2053.81,0,0.13,0
1375,1,2994,0.34,0.42,0.37,0.02,1144.71,0,0.52,0
660,2,2125,0.50,0.50,0.12,0.37,12561.95,0,0.52,0
657,2,4390,0.85,0.18,0.33,0.21,2601.60,1,0.39,1
512,0,4228,0.87,0.08,0.12,0.15,14144.42,1,0.18,0
1876,1,367,0.97,0.28,0.25,0.09,11024.13,1,0.05,1
1947,1,1897,0.62,0.34,0.16,0.33,3737.94,0,0.07,1
1858,0,2713,0.60,0.43,0.02,0.02,12460.55,1,0.04,1
361,0,4214,0.97,0.05,0.01,0.29,5036.22,0,0.21,1
522,0,2386,0.27,0.40,0.13,0.34,1875.25,0,0.16,1
1278,1,1210,0.02,0.35,0.19,0.23,11074.83,0,0.24,0
1321,2,4132,0.64,0.37,0.02,0.31,6639.04,0,0.05,0
72,0,888,0.29,0.26,0.14,0.12,5764.08,0,0.47,0
1072,0,3223,0.72,0.23,0.06,0.29,5232.62,0,0.50,1
1030,1,1444,0.00,0.31,0.25,0.32,5297.82,0,0.03,0
310,2,607,0.20,0.37,0.13,0.30,8837.39,0,0.40,1
38,1,4057,0.16,0.14,0.04,0.35,9337.37,0,0.43,0
462,1,1533,0.29,0.00,0.15,0.08,11304.95,0,0.57,0
293,2,3802,0.37,0.35,0.31,0.02,3280.75,1,0.28,1
750,2,3499,0.30,0.08,0.25,0.04,9964.40,0,0.29,0
128,2,4732,0.55,0.17,0.19,0.21,14602.05,1,0.04,1
790,0,187,0.47,0.33,0.32,0.19,12259.21,0,0.31,1
646,2,3528,0.48,0.29,0.10,0.32,13204.86,0,0.03,0
207,0,4414,0.64,0.30,0.22,0.10,14374.84,0,0.14,0
109,2,3522,0.14,0.33,0.36,0.17,12227.66,0,0.14,0
210,0,4831,0.34,0.09,0.17,0.20,8787.94,0,0.16,0
268,0,4808,0.65,0.05,0.24,0.38,1855.40,0,0.23,0
554,2,4783,0.44,0.22,0.13,0.13,12724.04,1,0.34,1
199,2,2602,0.07,0.04,0.26,0.36,5823.74,1,0.29,0
1128,2,207,0.17,0.24,0.36,0.01,1650.19,1,0.27,0
627,0,4422,0.25,0.31,0.31,0.06,2481.10,0,0.05,1
901,0,1878,0.31,0.34,0.39,0.34,12174.53,0,0.38,1
83,0,3114,0.64,0.18,0.01,0.26,1605.80,0,0.55,1
881,2,2737,0.52,0.40,0.11,0.11,2339.55,1,0.52,0
143,0,1617,0.36,0.46,0.13,0.19,7847.88,1,0.56,1
771,0,2432,0.57,0.30,0.05,0.22,6424.98,0,0.29,1
1020,2,4428,0.52,0.25,0.23,0.28,1008.60,0,0.06,1
318,0,4516,0.24,0.41,0.35,0.35,4698.74,1,0.10,1
361,0,792,0.59,0.00,0.15,0.21,10929.94,0,0.25,0
385,1,273,0.63,0.26,0.15,0.20,11222.95,1,0.49,1
1670,0,4933,0.89,0.17,0.36,0.23,2245.78,1,0.21,1
568,0,3244,0.99,0.31,0.19,0.36,12143.03,1,0.59,1
930,1,1848,0.98,0.12,0.00,0.34,11324.01,1,0.34,1
1107,2,1896,0.32,0.01,0.30,0.09,5628.78,0,0.05,0
1649,2,2989,0.70,0.08,0.11,0.00,10656.88,0,0.07,0
1282,0,499,0.39,0.25,0.36,0.29,4131.23,0,0.03,1
956,0,4276,0.54,0.25,0.35,0.25,12420.30,0,0.14,1
366,2,920,0.03,0.08,0.38,0.04,6414.60,1,0.54,0
56,1,3096,0.59,0.09,0.31,0.19,11768.44,0,0.45,0
555,0,2302,0.40,0.28,0.17,0.02,3776.71,0,0.37,1
1004,0,667,0.07,0.05,0.21,0.16,14236.40,1,0.48,0
359,2,4780,0.05,0.01,0.06,0.08,11832.63,1,0.50,0
463,0,3913,0.79,0.46,0.12,0.37,9992.44,1,0.15,1
825,1,1117,0.75,0.26,0.27,0.19,11584.98,0,0.42,1
1128,1,3578,0.59,0.27,0.15,0.31,12308.43,1,0.50,1
70,2,1614,0.53,0.02,0.32,0.38,1257.38,0,0.11,1
710,0,4011,0.86,0.38,0.40,0.01,12083.50,1,0.18,1
408,1,4187,0.66,0.30,0.08,0.04,2613.33,0,0.56,1
1002,0,3312,0.61,0.37,0.37,0.06,15238.02,1,0.37,1
2,0,2726,0.01,0.19,0.25,0.28,9763.03,1,0.22,1
1674,1,1861,0.24,0.05,0.00,0.35,1462.44,0,0.21,0
1525,1,1422,0.18,0.10,0.07,0.36,11626.99,0,0.08,0
1284,1,4737,0.24,0.07,0.33,0.08,1835.02,1,0.17,0
44,0,4474,0.61,0.08,0.05,0.03,2367.10,1,0.24,1
570,1,2880,0.26,0.22,0.33,0.12,9197.26,1,0.16,0
1411,1,2520,0.17,0.07,0.03,0.13,474.88,0,0.50,0
66,2,4110,0.00,0.21,0.00,0.28,14324.88,1,0.46,1
101,1,4615,0.15,0.44,0.26,0.21,8672.29,1,0.09,1
688,1,2997,0.79,0.15,0.34,0.23,1815.61,1,0.48,0
1939,1,4988,0.80,0.34,0.09,0.19,14582.30,0,0.50,1
659,0,2217,0.74,0.25,0.29,0.05,11828.46,1,0.50,1
1897,1,1778,0.48,0.32,0.27,0.18,5389.58,1,0.17,1
1698,1,2585,0.84,0.46,0.35,0.36,7973.47,1,0.32,1
494,2,4823,0.50,0.04,0.05,0.14,6902.83,1,0.48,1
1759,2,3464,0.78,0.20,0.08,0.06,5927.93,0,0.21,1
497,2,3091,0.63,0.46,0.10,0.22,5159.37,1,0.15,0
1257,2,4007,0.95,0.34,0.40,0.38,4285.92,0,0.05,0
1248,1,2853,0.16,0.07,0.06,0.36,14734.76,0,0.56,0
204,1,2386,0.05,0.23,0.22,0.16,625.08,0,0.45,0
836,0,4666,0.85,0.27,0.12,0.10,12687.09,0,0.30,0
423,1,3287,0.75,0.22,0.10,0.40,4028.82,1,0.09,0
590,1,1525,0.98,0.21,0.21,0.10,14796.15,0,0.24,0
1322,0,4172,0.52,0.18,0.33,0.03,10349.52,1,0.35,1
1480,2,615,0.47,0.25,0.19,0.29,346.28,1,0.31,1
1911,1,3826,0.64,0.16,0.29,0.06,2316.63,0,0.36,0
1986,2,4537,0.37,0.19,0.13,0.35,7093.02,1,0.18,0
1420,1,3492,0.13,0.41,0.10,0.25,10459.97,0,0.07,0
784,1,4898,0.99,0.40,0.26,0.27,6537.54,0,0.56,1
898,0,75,0.89,0.37,0.33,0.16,11728.60,0,0.44,1
1422,0,3141,0.31,0.35,0.05,0.06,8591.00,0,0.58,0
817,2,3692,0.42,0.31,0.16,0.18,10212.11,1,0.14,0
845,0,1453,0.29,0.04,0.21,0.40,12528.50,0,0.18,0
439,0,2877,0.91,0.07,0.36,0.03,9532.12,1,0.11,1
1309,0,1693,0.49,0.02,0.17,0.17,13978.29,0,0.22,0
1877,2,247,0.33,0.23,0.03,0.04,1852.20,1,0.18,0
1636,2,1503,0.35,0.00,0.37,0.18,1452.88,1,0.18,0
722,2,755,0.52,0.03,0.12,0.35,3431.80,1,0.34,1
145,0,3284,0.96,0.15,0.02,0.38,14057.90,0,0.35,1
85,0,3266,0.49,0.04,0.08,0.37,4990.99,0,0.13,1
1776,0,4927,0.41,0.14,0.02,0.29,11653.93,0,0.47,1
1599,1,1629,0.70,0.38,0.09,0.37,3743.47,0,0.38,1
1600,0,1686,0.53,0.15,0.20,0.24,7987.86,1,0.14,0
820,2,388,0.91,0.17,0.25,0.09,5178.20,1,0.55,0
531,0,1532,0.04,0.47,0.21,0.16,14399.81,0,0.31,1
866,2,3918,0.47,0.44,0.07,0.25,12103.73,1,0.01,1
1275,1,4047,0.10,0.29,0.35,0.08,9444.38,0,0.17,1
963,0,2656,0.46,0.14,0.05,0.38,11028.87,0,0.37,0
187,2,785,0.49,0.03,0.08,0.13,5041.98,0,0.19,0
118,0,2036,0.84,0.01,0.13,0.39,4834.45,1,0.16,1
692,0,2060,0.96,0.08,0.16,0.23,8913.20,0,0.07,1
998,2,4115,0.10,0.29,0.38,0.14,6621.96,1,0.21,0
1261,2,4726,0.14,0.13,0.03,0.26,9477.77,1,0.57,0
1602,1,2589,0.23,0.33,0.24,0.25,9830.18,0,0.48,0
521,2,3368,0.60,0.03,0.17,0.10,5982.77,0,0.31,1
62,2,3143,0.97,0.50,0.12,0.02,9747.12,1,0.41,1
1414,0,2976,0.33,0.04,0.30,0.24,7447.07,1,0.58,0
812,2,567,0.61,0.23,0.39,0.15,7150.57,1,0.33,1
956,2,1009,0.67,0.17,0.20,0.04,3598.90,0,0.42,1
402,1,893,0.23,0.11,0.24,0.11,10843.24,1,0.49,0
341,0,3234,0.48,0.28,0.17,0.37,3729.76,0,0.21,1
690,2,4678,0.13,0.32,0.39,0.22,6048.95,1,0.24,1
46,0,2989,0.05,0.03,0.24,0.16,4720.46,1,0.50,1
465,1,1603,0.43,0.14,0.31,0.26,6103.91,1,0.29,1
141,1,2010,0.44,0.44,0.04,0.40,11489.91,0,0.24,1
517,0,1349,0.80,0.21,0.31,0.08,10631.49,1,0.09,1
644,0,3434,0.16,0.07,0.04,0.29,6831.67,0,0.06,0
27,0,4025,0.97,0.32,0.27,0.12,10201.91,0,0.34,1
562,2,1966,0.21,0.07,0.12,0.38,8641.96,1,0.28,0
1955,1,4780,0.24,0.33,0.12,0.07,460.57,1,0.51,0
530,0,2258,0.07,0.48,0.22,0.21,3380.92,0,0.14,0
399,2,3684,0.75,0.06,0.12,0.36,1973.03,1,0.26,0
367,0,2928,0.64,0.08,0.25,0.06,15289.60,1,0.52,1
1196,1,902,0.16,0.07,0.16,0.39,7872.62,1,0.41,0
970,1,2703,0.09,0.14,0.18,0.08,10957.67,1,0.09,0
462,1,4955,0.30,0.20,0.36,0.14,12413.18,1,0.11,0
1700,0,1991,0.69,0.35,0.31,0.09,4407.52,1,0.04,1
396,1,783,0.78,0.05,0.30,0.28,9494.75,1,0.20,1
620,1,3205,0.82,0.00,0.39,0.14,650.11,1,0.13,0
1198,1,2470,0.78,0.09,0.07,0.36,9675.67,1,0.51,1
313,2,77,0.78,0.10,0.30,0.29,3057.52,0,0.27,0
1945,0,362,0.64,0.22,0.15,0.06,11556.37,0,0.55,1
682,2,4991,0.26,0.18,0.08,0.29,10927.54,1,0.16,0
17,0,2255,0.54,0.24,0.34,0.10,10036.85,1,0.28,1
383,0,3265,0.09,0.08,0.17,0.20,14885.26,1,0.24,0
1390,2,1722,0.64,0.07,0.36,0.15,14916.79,0,0.35,0
332,1,3881,0.18,0.02,0.04,0.01,5583.46,1,0.26,0
600,1,4895,0.76,0.22,0.27,0.16,7507.41,0,0.55,1
766,2,84,0.60,0.36,0.32,0.36,6651.59,0,0.23,0
994,0,2641,0.25,0.17,0.11,0.14,14969.16,1,0.24,0
1627,0,3500,0.81,0.27,0.10,0.24,10632.86,1,0.41,1
850,2,3805,0.23,0.12,0.28,0.36,4126.20,0,0.35,0
773,0,1723,0.71,0.38,0.25,0.23,11251.01,0,0.23,0
402,1,3264,0.54,0.44,0.29,0.12,9767.87,1,0.51,1
1252,2,3259,0.64,0.38,0.23,0.06,3174.08,1,0.01,1
1375,1,1967,0.22,0.24,0.30,0.11,4412.21,1,0.01,0
734,2,4053,0.44,0.14,0.27,0.18,4540.85,0,0.58,0
1846,1,1547,0.61,0.27,0.35,0.31,4925.79,1,0.29,1
527,2,2864,0.21,0.47,0.18,0.35,6123.48,1,0.54,1
325,2,4574,0.46,0.42,0.19,0.03,6341.76,0,0.28,0
1089,2,4211,0.65,0.04,0.06,0.40,7537.56,0,0.58,1
199,1,1260,0.22,0.41,0.03,0.34,5695.43,1,0.60,0
429,0,2991,0.38,0.45,0.06,0.31,11464.90,1,0.43,1
39,1,1467,0.51,0.22,0.09,0.09,697.61,0,0.20,0
301,2,3866,0.77,0.29,0.28,0.18,6923.19,1,0.44,1
1383,2,108,0.36,0.14,0.10,0.06,15271.67,1,0.30,1
862,0,232,1.00,0.17,0.14,0.20,7435.21,1,0.27,1
156,1,206,0.95,0.44,0.11,0.19,13761.99,0,0.44,1
823,0,2833,0.39,0.11,0.02,0.38,13525.00,0,0.44,1
1943,2,745,0.89,0.45,0.29,0.02,9534.16,0,0.52,1
1596,1,2601,0.94,0.14,0.06,0.37,4075.00,1,0.31,0
626,2,4617,0.11,0.35,0.39,0.14,5515.39,1,0.59,0
222,1,3048,0.41,0.17,0.30,0.13,8209.93,1,0.42,0
771,1,3624,0.86,0.42,0.12,0.33,9978.93,0,0.59,1
1634,1,861,0.20,0.06,0.09,0.20,11011.20,0,0.19,0
1071,1,4249,0.16,0.19,0.15,0.30,5118.78,0,0.50,1
590,2,2294,0.96,0.30,0.18,0.21,13609.03,0,0.41,1
549,2,2950,0.16,0.08,0.02,0.09,4770.92,1,0.39,0
1071,1,2832,0.06,0.16,0.04,0.08,4599.95,0,0.58,0
416,0,3434,0.77,0.21,0.13,0.19,7020.98,0,0.28,1
99,2,252,0.58,0.22,0.35,0.16,9330.12,1,0.11,1
775,0,1531,0.36,0.45,0.07,0.01,4601.46,1,0.13,1
1934,0,185,0.93,0.18,0.03,0.00,4351.43,0,0.42,1
881,2,2616,0.25,0.20,0.14,0.34,3879.30,1,0.32,1
426,1,1582,0.59,0.31,0.06,0.04,13114.05,1,0.53,0
269,1,3542,0.52,0.29,0.20,0.20,7534.19,1,0.11,0
1152,2,4049,0.01,0.11,0.33,0.21,470.23,1,0.30,0
713,2,1960,0.53,0.47,0.07,0.08,6710.20,0,0.22,1
370,1,1151,0.26,0.49,0.02,0.33,7202.44,0,0.51,0
399,0,3512,0.16,0.23,0.39,0.11,1196.42,1,0.34,1
1411,2,3756,0.17,0.05,0.40,0.21,6360.67,0,0.34,0
1086,1,2210,0.73,0.13,0.01,0.36,14248.08,1,0.32,1
1540,1,3983,0.68,0.05,0.30,0.12,13378.97,0,0.54,1
1970,0,2446,0.23,0.15,0.34,0.17,814.92,1,0.18,0
780,2,2786,0.16,0.26,0.20,0.29,10584.29,0,0.35,0
1072,2,1623,0.36,0.22,0.27,0.14,7546.10,0,0.11,0
100,1,3230,0.15,0.05,0.01,0.27,2391.61,0,0.44,1
1985,1,1636,0.20,0.45,0.28,0.24,4966.41,0,0.07,0
1519,1,4759,0.75,0.22,0.17,0.30,11109.54,1,0.04,0
41,1,1449,0.15,0.04,0.31,0.19,4376.50,1,0.48,0
1010,1,400,0.14,0.05,0.33,0.17,8509.03,0,0.59,0
516,2,4027,0.23,0.01,0.20,0.38,13515.18,1,0.30,0
1797,1,4228,0.47,0.23,0.16,0.31,10265.15,0,0.09,0
1219,1,4752,0.33,0.13,0.04,0.21,591.74,1,0.39,0
1218,0,2690,0.94,0.44,0.11,0.35,6580.17,1,0.14,1
1052,1,3313,0.38,0.30,0.25,0.30,8852.21,1,0.14,1
744,0,3471,0.36,0.05,0.02,0.01,7061.91,0,0.05,0
611,1,2162,0.75,0.42,0.22,0.18,9053.60,1,0.01,1
411,0,1947,0.69,0.15,0.20,0.03,10078.24,1,0.57,0
637,0,291,0.21,0.31,0.04,0.20,14100.61,1,0.35,1
1363,2,2588,0.46,0.18,0.26,0.02,331.79,0,0.36,1
343,2,3226,0.50,0.03,0.09,0.07,5229.30,0,0.38,1
553,2,3476,0.36,0.23,0.18,0.19,14251.44,1,0.25,0
1815,2,4164,0.39,0.24,0.31,0.12,10906.09,1,0.35,1
890,1,3358,0.92,0.29,0.29,0.24,5720.18,0,0.52,1
257,1,2537,0.58,0.30,0.25,0.26,10017.36,1,0.53,1
1144,1,4558,0.12,0.19,0.37,0.30,762.87,0,0.11,0
1759,2,4454,0.17,0.40,0.29,0.29,2566.87,0,0.34,0
1357,0,2743,0.46,0.47,0.05,0.31,12016.50,1,0.08,1
1047,0,3590,0.23,0.29,0.39,0.09,5991.66,1,0.00,1
1947,1,4974,0.64,0.34,0.33,0.28,4901.94,0,0.43,1
474,0,957,0.59,0.33,0.38,0.25,6220.76,0,0.53,1
710,1,2975,0.56,0.00,0.05,0.06,9326.70,1,0.49,1
1964,0,3694,0.62,0.09,0.13,0.38,15033.65,0,0.49,1
1011,1,3863,0.21,0.46,0.26,0.12,4950.44,0,0.13,0
782,2,4045,0.49,0.29,0.35,0.14,8691.61,1,0.05,1
425,0,1218,0.44,0.31,0.21,0.18,11199.59,0,0.45,1
1614,1,2106,0.80,0.15,0.16,0.11,1730.39,1,0.40,0
1150,0,2622,0.62,0.25,0.31,0.36,3712.05,0,0.03,1
548,0,3898,0.63,0.41,0.10,0.28,7306.46,1,0.12,1
719,0,2745,0.69,0.28,0.37,0.15,9224.64,0,0.31,1
222,2,1024,0.51,0.07,0.08,0.27,5249.69,0,0.31,1
195,1,2204,0.81,0.28,0.06,0.04,7424.89,0,0.01,0
1819,2,3262,0.96,0.10,0.01,0.16,4023.79,1,0.23,0
1167,2,4265,0.58,0.20,0.16,0.10,12456.42,0,0.24,0
1849,2,935,0.79,0.20,0.27,0.25,7770.93,1,0.15,1
1862,2,4972,0.94,0.05,0.08,0.06,14437.43,1,0.39,1
655,0,2322,0.94,0.01,0.33,0.22,13065.93,0,0.45,1
331,2,508,0.66,0.02,0.20,0.03,14773.14,1,0.49,0
162,1,226,0.53,0.40,0.38,0.20,12417.61,0,0.38,1
955,1,1176,0.73,0.14,0.11,0.23,3723.64,1,0.58,1
1102,0,4401,0.04,0.43,0.10,0.07,14108.02,0,0.17,0
933,0,880,0.92,0.24,0.30,0.31,3778.65,1,0.08,1
1808,2,1181,0.25,0.25,0.32,0.17,10322.64,1,0.42,1
1289,0,1707,0.08,0.38,0.15,0.12,2087.36,1,0.21,1
173,1,4685,0.37,0.30,0.08,0.06,2420.45,1,0.14,1
1411,2,2121,0.77,0.35,0.07,0.27,1972.05,0,0.42,1
945,1,3992,0.77,0.12,0.35,0.18,4059.99,0,0.01,0
415,1,1755,0.86,0.10,0.34,0.34,2418.66,1,0.11,0
1682,1,1922,0.39,0.12,0.19,0.22,10151.96,0,0.26,0
474,2,74,0.24,0.29,0.32,0.25,9698.69,1,0.00,0
743,1,3370,0.72,0.37,0.06,0.11,11000.31,0,0.58,1
1919,0,3178,0.62,0.05,0.15,0.23,4905.35,1,0.17,0
389,0,4771,0.55,0.37,0.10,0.39,2968.28,0,0.16,0
698,1,2660,0.86,0.35,0.32,0.03,6708.22,0,0.37,1
1954,1,2592,0.06,0.24,0.23,0.11,11589.59,1,0.08,0
937,0,4439,0.96,0.35,0.14,0.33,7023.73,0,0.21,1
495,1,2139,0.32,0.31,0.06,0.28,6912.20,0,0.55,1
505,0,2938,0.43,0.05,0.03,0.36,2083.59,0,0.02,0
1820,0,2062,0.97,0.08,0.36,0.25,2736.74,0,0.42,1
1404,0,3798,0.72,0.11,0.03,0.22,3272.22,1,0.51,1
997,0,2408,0.24,0.48,0.16,0.07,1733.73,0,0.51,1
1977,1,2824,0.39,0.35,0.18,0.05,313.47,0,0.32,1
379,1,3483,0.13,0.32,0.38,0.22,14091.72,0,0.36,0
834,2,3187,0.24,0.04,0.01,0.11,7975.17,1,0.22,0
1773,2,3020,0.14,0.35,0.30,0.04,6199.40,0,0.25,0
721,0,23,0.87,0.31,0.36,0.32,871.89,0,0.29,1
689,0,2255,0.11,0.37,0.36,0.20,1791.02,0,0.47,1
1407,1,2785,0.68,0.09,0.08,0.02,5137.31,1,0.50,0
209,2,133,0.85,0.40,0.08,0.17,13129.51,0,0.28,1
514,2,3031,0.58,0.06,0.15,0.09,4675.94,1,0.32,1
246,2,637,0.46,0.00,0.25,0.03,10627.04,1,0.15,0
978,1,4623,0.88,0.37,0.27,0.34,10786.44,1,0.02,1
1611,2,1188,0.81,0.33,0.22,0.02,8751.71,1,0.58,1
199,1,2533,0.60,0.46,0.13,0.15,1058.07,0,0.16,1
436,0,3290,0.64,0.13,0.19,0.03,4324.28,0,0.51,1
1180,1,3272,0.03,0.02,0.28,0.09,5968.02,1,0.33,0
1583,1,2438,0.54,0.49,0.19,0.02,8399.87,1,0.32,1
1460,1,3365,0.72,0.44,0.12,0.22,653.75,0,0.14,0
571,1,1714,0.93,0.31,0.02,0.20,10059.00,0,0.42,1
184,2,1679,0.40,0.42,0.14,0.23,13935.29,1,0.17,1
1225,1,2499,0.35,0.23,0.25,0.21,6537.25,0,0.39,0
1354,2,4377,0.19,0.33,0.03,0.28,7763.58,1,0.42,1
490,2,3018,0.01,0.15,0.00,0.22,9081.25,1,0.58,0
343,1,682,0.51,0.26,0.16,0.24,9478.89,0,0.03,0
1053,1,557,0.48,0.28,0.33,0.19,11693.45,0,0.35,1
1599,0,3327,0.20,0.47,0.05,0.20,9846.38,0,0.12,0
1735,0,1929,0.42,0.09,0.21,0.24,2558.44,1,0.18,0
1380,0,652,0.11,0.22,0.11,0.06,10563.90,0,0.14,0
943,0,758,0.70,0.20,0.28,0.16,5721.97,1,0.31,1
1981,0,1992,0.23,0.16,0.16,0.26,6849.65,0,0.46,1
1813,2,3649,0.11,0.05,0.03,0.32,13369.42,1,0.29,0
821,2,4812,0.10,0.43,0.02,0.09,7520.41,0,0.22,0
84,0,435,0.85,0.39,0.24,0.30,9183.12,1,0.49,1
1385,0,2361,0.01,0.43,0.24,0.23,975.16,1,0.44,1
1403,0,98,0.79,0.01,0.17,0.20,6769.80,0,0.51,1
1279,1,2691,0.26,0.27,0.16,0.25,12794.73,0,0.42,1
1228,0,3761,0.36,0.37,0.02,0.34,4101.08,0,0.01,1
438,1,4638,0.39,0.41,0.30,0.00,8499.74,1,0.18,1
366,0,1726,0.17,0.05,0.10,0.39,1600.84,1,0.56,1
1815,2,3880,0.95,0.41,0.39,0.27,11908.61,1,0.22,0
1486,1,4064,0.67,0.21,0.37,0.02,1226.39,0,0.49,1
1787,2,661,0.52,0.32,0.32,0.39,1260.76,1,0.32,1
233,0,430,0.06,0.06,0.29,0.09,891.53,0,0.23,0
1137,0,4555,0.90,0.08,0.28,0.02,3865.54,0,0.13,0
393,2,1914,0.42,0.11,0.39,0.06,1243.42,0,0.48,0
1070,0,4867,0.17,0.41,0.19,0.14,10518.77,0,0.53,1
27,2,919,0.40,0.46,0.33,0.29,5992.45,1,0.16,1
1104,2,4678,0.29,0.03,0.12,0.07,3675.86,0,0.33,0
1864,0,786,0.84,0.49,0.40,0.22,7646.77,1,0.25,1
1582,1,3039,0.54,0.36,0.01,0.32,15201.78,0,0.30,0
461,0,4550,0.16,0.30,0.38,0.12,3465.16,0,0.14,0
1487,0,2452,0.43,0.27,0.00,0.13,11473.84,0,0.18,1
1775,0,303,0.04,0.11,0.31,0.30,12320.86,1,0.10,1
236,2,3597,0.11,0.01,0.17,0.07,13385.46,0,0.39,0
779,1,314,0.17,0.30,0.04,0.29,13093.16,0,0.31,1
1925,1,2624,0.73,0.40,0.29,0.11,5378.92,1,0.51,1
573,0,4189,0.45,0.06,0.05,0.03,7268.79,1,0.22,0
1379,2,476,0.71,0.45,0.15,0.03,9726.90,1,0.49,1
1749,2,772,0.27,0.25,0.07,0.35,6922.65,0,0.18,0
1382,1,3202,0.05,0.27,0.11,0.35,12420.06,1,0.21,0
1843,0,1554,0.06,0.28,0.13,0.23,6217.25,0,0.56,1
634,2,500,0.24,0.27,0.33,0.02,13544.72,1,0.57,0
845,2,1779,0.82,0.11,0.34,0.25,14013.00,0,0.43,0
438,0,2485,0.87,0.05,0.13,0.10,3819.19,0,0.41,1
309,2,2395,0.28,0.01,0.21,0.35,11538.11,0,0.29,0
392,0,4526,0.43,0.14,0.00,0.38,856.85,0,0.16,1
1033,0,2356,0.09,0.15,0.24,0.09,5207.71,0,0.11,0
1370,1,3567,0.91,0.21,0.23,0.08,9454.18,1,0.12,0
1270,0,1975,0.75,0.39,0.37,0.27,7263.34,0,0.52,1
254,2,2248,0.67,0.41,0.30,0.08,9629.20,1,0.47,1
1481,2,3381,0.94,0.35,0.06,0.07,12829.56,0,0.55,0
1962,2,1193,0.68,0.10,0.06,0.18,2035.36,0,0.53,0
1901,0,2728,0.37,0.24,0.28,0.05,13132.83,1,0.42,1
959,2,4276,0.07,0.11,0.18,0.06,1993.92,1,0.35,0
853,0,1896,0.39,0.22,0.06,0.30,945.42,1,0.30,1
1062,1,2915,0.35,0.48,0.09,0.17,12166.08,0,0.36,0
805,1,566,0.14,0.11,0.04,0.10,328.22,0,0.18,0
415,1,3962,0.27,0.04,0.35,0.09,11637.80,1,0.49,0
1830,1,4715,0.69,0.42,0.37,0.38,4618.95,0,0.37,1
1155,2,4297,0.02,0.12,0.37,0.34,5070.89,1,0.01,0
407,2,2866,0.46,0.30,0.38,0.10,2761.78,1,0.49,1
1517,2,4075,0.13,0.09,0.32,0.07,3412.03,1,0.21,0
241,0,4301,0.95,0.28,0.29,0.33,14803.17,1,0.37,1
376,1,1207,0.16,0.01,0.02,0.13,14567.00,1,0.13,0
1316,2,2774,0.02,0.18,0.21,0.16,9983.71,1,0.12,0
801,2,4363,0.05,0.40,0.02,0.17,10223.26,1,0.25,0
309,0,4745,0.24,0.19,0.11,0.36,2685.64,0,0.23,0
